loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),label
2020-12-16 17:39:31.037 -0800,42404.48724,-1.066009521,0.257522583,-0.1612243652,42404.43722,1.779882595,-1.631743703,0.1202612527,0.09950396419,-0.5282875896,-0.2914482355,0.01791155338,0.4666207731,-0.277037859,XArbitraryZVertical,-0.5908300172,0.4256227741,-0.5039378498,-0.4645552971,-0.9909338355,-0.1199715808,0.06046970934,2
2020-12-16 17:39:31.087 -0800,42404.53726,-1.058578491,0.306930542,-0.2204589844,42404.48724,1.775322305,-1.648313768,0.1255349126,-0.2718428075,-0.1512485743,0.1034486666,-0.0699763298,0.3799967468,-0.2354608774,XArbitraryZVertical,-0.5950401826,0.4293511376,-0.496668465,-0.463578605,-0.9891514182,-0.1252054572,0.07683043927,2
2020-12-16 17:39:31.137 -0800,42404.58728,-0.958480835,0.3036346436,-0.1944274902,42404.53726,1.764835534,-1.647314976,0.1147425002,-0.003196739359,0.09626752883,0.3094749451,-0.07829976082,0.4212383628,-0.294721961,XArbitraryZVertical,-0.5903920611,0.435210147,-0.497207354,-0.4634803659,-0.9905172586,-0.114490889,0.07594131678,2
2020-12-16 17:39:31.188 -0800,42404.6373,-0.818145752,0.2750244141,-0.112991333,42404.58728,1.778853306,-1.643247328,0.09741041116,0.5996482372,0.1293617338,0.3187376261,0.02051091194,0.4036682248,-0.2729417086,XArbitraryZVertical,-0.5889580262,0.4349145587,-0.5058837845,-0.4561351191,-0.9926482439,-0.09725642949,0.07204446197,2
2020-12-16 17:39:31.237 -0800,42404.68732,-0.8188171387,0.2950744629,-0.0795135498,42404.6373,1.817048017,-1.638498933,0.0761615987,0.9312324524,0.08334347606,0.2669445574,0.163441658,0.3535081148,-0.1846423149,XArbitraryZVertical,-0.5917418102,0.4284495546,-0.5209352302,-0.4414737267,-0.9948167801,-0.07608798891,0.06745478511,2
2020-12-16 17:39:31.287 -0800,42404.73733,-1.190032959,0.2718048096,-0.004776000977,42404.68732,1.87357383,-1.639074286,0.05525733225,1.396708369,-0.06458964944,0.233040601,0.1866226792,0.356330961,-0.1567591429,XArbitraryZVertical,-0.5997447976,0.4175722276,-0.5377404999,-0.4204456756,-0.9961470366,-0.05522921681,0.06812077761,2
2020-12-16 17:39:31.337 -0800,42404.78735,-1.172317505,0.3109588623,0.1497497559,42404.73733,1.945032363,-1.650302162,0.04119173653,1.444404483,-0.1158936918,0.07849945873,-0.1465673447,0.2980771065,-0.0936980322,XArbitraryZVertical,-0.6147862958,0.4021382476,-0.551963324,-0.394536459,-0.9959954023,-0.04118008912,0.07935471833,2
2020-12-16 17:39:31.387 -0800,42404.83737,-1.558273315,0.3327636719,0.2744445801,42404.78735,2.016425609,-1.641524389,0.03381517264,1.404828906,0.3883903027,0.06535610557,-0.1737399697,0.356562674,0.05072427541,XArbitraryZVertical,-0.6249597883,0.3804466043,-0.5699254061,-0.3739929419,-0.9969295859,-0.03380872682,0.07062871009,2
2020-12-16 17:39:31.437 -0800,42404.88739,-1.231460571,0.3931427002,0.1506958008,42404.83737,2.088580594,-1.621708782,0.02011726604,1.652433872,0.6035241485,0.2897548676,-0.5247980356,0.3286028802,0.2437212467,XArbitraryZVertical,-0.6301549612,0.358252433,-0.591889055,-0.3524587796,-0.9985020757,-0.02011590824,0.05088016018,2
2020-12-16 17:39:31.488 -0800,42404.93741,-0.8941497803,0.1811828613,0.1313018799,42404.88739,2.17619607,-1.580010107,-0.006358269044,1.622017622,0.8744972944,0.8205327392,-0.2929092646,0.4066056907,0.1389340162,XArbitraryZVertical,-0.628153689,0.3317072119,-0.62446984,-0.3247008495,-0.9999372959,0.006358226296,0.009213462472,2
2020-12-16 17:39:31.537 -0800,42404.98743,-0.9567871094,0.2231140137,0.1134185791,42404.93741,2.249712769,-1.541704221,-0.08155213491,1.462711573,0.5873796344,2.201005459,0.08825004101,0.1015216783,0.1654810905,XArbitraryZVertical,-0.6154743715,0.3266429746,-0.6588800285,-0.2835010791,-0.9962548018,0.08146176487,-0.02899133042,2
2020-12-16 17:39:31.587 -0800,42405.03745,-1.141540527,0.1938018799,0.1070861816,42404.98743,2.329584836,-1.503348727,-0.2103659232,1.454605103,0.5548362732,2.910698891,0.02730572224,0.02131530643,0.1786577702,XArbitraryZVertical,-0.5935916087,0.3386645208,-0.6957631104,-0.2210634271,-0.9757309556,0.2088177651,-0.06591068953,2
2020-12-16 17:39:31.637 -0800,42405.08747,-1.243743896,0.1518707275,0.1025085449,42405.03745,2.421868038,-1.447841549,-0.3451003504,1.606733441,0.6654503942,2.644188643,-0.1842268109,-0.1426276863,0.2261318564,XArbitraryZVertical,-0.5653978713,0.3501687271,-0.7308562041,-0.1534802917,-0.9339370728,0.3382911086,-0.1154142171,2
2020-12-16 17:39:31.687 -0800,42405.13749,-0.8632049561,0.08084106445,0.1261138916,42405.08747,2.530023492,-1.365935512,-0.444098276,1.39449811,1.023451567,1.920947075,-0.3796777725,-0.2708456218,0.2835969329,XArbitraryZVertical,-0.5356185555,0.3482296446,-0.7633981941,-0.09524685327,-0.8841160536,0.4296438098,-0.1836977601,2
2020-12-16 17:39:31.737 -0800,42405.18751,-0.607925415,0.1736755371,0.005981445313,42405.13749,2.591562951,-1.282837533,-0.5176361568,0.005309117492,1.084817767,1.544091225,-0.06795763969,-0.4148256481,0.3773893714,XArbitraryZVertical,-0.5009795092,0.3544357258,-0.7870392453,-0.06295895149,-0.8332108855,0.4948273599,-0.2467896938,2
2020-12-16 17:39:31.787 -0800,42405.23753,-0.7346496582,0.1728515625,-0.1052856445,42405.18751,2.613210688,-1.231780116,-0.5879486734,0.1953952163,0.3597769439,1.288289428,0.1728121638,-0.3846572638,0.2918069661,XArbitraryZVertical,-0.471957478,0.3726903449,-0.7978459488,-0.04242293301,-0.784719944,0.5546553135,-0.2767160833,2
2020-12-16 17:39:31.837 -0800,42405.28755,-0.8753051758,0.1264190674,-0.119430542,42405.23753,2.678183158,-1.195689736,-0.6159440495,1.25512445,-0.3771840036,0.4543726742,0.03887861967,-0.3943644762,0.2019054294,XArbitraryZVertical,-0.4645104417,0.3670266476,-0.8057927055,-0.01481715999,-0.7594748139,0.5777293444,-0.2990429699,2
2020-12-16 17:39:31.887 -0800,42405.33757,-0.8803100586,0.108581543,-0.09658813477,42405.28755,2.745086518,-1.187341453,-0.5923384678,0.9320665598,-0.7199258804,-0.4714529216,-0.1014014482,-0.4349505901,0.1893261373,XArbitraryZVertical,-0.4769234832,0.3425627702,-0.8094315289,0.003921398858,-0.7693871856,0.5583026409,-0.3103894889,2
2020-12-16 17:39:31.937 -0800,42405.38759,-1.293334961,0.0599822998,0.01441955566,42405.33757,2.755314087,-1.218190232,-0.5462715392,0.0157998018,-0.673694551,-1.013577104,-0.08146470785,-0.3981214166,0.1967428029,XArbitraryZVertical,-0.4982079811,0.3228713712,-0.8047003741,-0.0001248750004,-0.8018969297,0.519505024,-0.295085758,2
